# ============================================================
#  夜ボスの「よみがな」辞書（検索用）
#
#  形式:   表示名, よみがな
#    ・「,」で区切ります
#    ・# で始まる行・空行は無視されます
#    ・よみがなを省略すると表示名がそのまま読みになります
#    ・よみがなを「;」で区切ると複数登録できます（例: 大赤熊, おおあかぐま;おおあかくま）
#      → どの読みでも検索でき、表示には先頭の読みを使います
#
#  よみがなは検索に使われます。
#  例:  鈴玉狩り, すずたまがり
#       → 「鈴」でも「す」でも「ス」でも候補に出てきます
# ============================================================

# --- 1夜（1日目）に出る夜ボス ---
亜人の女王＋亜人の剣聖, あじんのじょおうあじんのけんせい
鈴玉狩り, すずたまがり
英雄のガーゴイル, えいゆうのがーごいる
ミミズ顔, みみずがお
公のフレイディア, おおやけのふれいでぃあ
貪食ドラゴン, どんしょくどらごん
夜の騎兵たち, よるのきへいたち
百足のデーモン, むかでのでーもん
戦場の宿将, せんじょうのしゅくしょう
溶鉄デーモン, ようてつでーもん
爛れた樹霊, ただれたじゅれい
ティビアの呼び舟, てぃびあのよびぶね
王族の幽鬼, おうぞくのゆうき
接ぎ木の君主, つぎきのくんしゅ

# --- 2夜（2日目）に出る夜ボス ---
忌み鬼, いみおに;いみき
ツリーガード, つりーがーど
古竜, こりゅう
僻地の宿将, へきちのしゅくしょう
坩堝の騎士＋黄金カバ, るつぼのきしおうごんかば
大土竜, おおもぐら;おおどりゅう;だいもぐら;だいどりゅう
ノクスの竜人兵, のくすのりゅうじんへい
竜のツリーガード, りゅうのつりーがーど
無名の王, むめいのおう
冷たい谷の踊り子, つめたいたにのおどりこ
神肌の貴種＋神肌の使徒, かみはだのきしゅかみはだのしと
死儀礼の鳥, しぎれいのとり
降る星の成獣, ふるほしのせいじゅう

# --- 夜の王「安寧者たち」の夜ボス ---
呪剣士＋神獣戦士, じゅけんししんじゅうせんし
傷ついたデーモン＋うろ底のデーモン, きずついたでーもんうろぞこのでーもん
血の君主モーグ, ちのくんしゅもーぐ
デーモンの王子, でーもんのおうじ

# --- 夜の王「瓦礫の王」の夜ボス ---
死の騎士, しのきし
大赤熊, おおあかぐま;おおあかくま
神獣獅子舞, しんじゅうししまい
アルトリウス, あるとりうす
